vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG01868,49,7,0,0,7,56
HG01596,54,1,1,0,2,56
HG02072,56,0,0,0,0,56
HG02079,55,1,0,0,1,56
HG01600,51,0,5,0,5,56
HG02140,56,0,0,0,0,56
HG01841,54,2,0,0,2,56
HG02020,55,1,0,0,1,56
HG01878,55,0,0,1,1,56
HG02085,56,0,0,0,0,56
HG01598,54,2,0,0,2,56
HG01872,55,0,1,0,1,56
HG02073,52,1,3,0,4,56
HG01845,56,0,0,0,0,56
HG02032,51,5,0,0,5,56
HG02088,48,5,3,0,8,56
HG01840,52,0,4,0,4,56
HG01855,50,5,1,0,6,56
HG02050,46,3,7,0,10,56
HG01844,51,3,2,0,5,56
HG02067,50,4,2,0,6,56
HG02133,55,1,0,0,1,56
HG02127,52,2,2,0,4,56
HG02512,54,0,2,0,2,56
HG02040,54,0,0,2,2,56
HG01859,54,2,0,0,2,56
HG02078,49,7,0,0,7,56
HG02070,55,0,1,0,1,56
HG02029,48,3,5,0,8,56
HG02116,51,0,5,0,5,56
HG01842,55,0,1,0,1,56
HG01867,56,0,0,0,0,56
HG02060,55,1,0,0,1,56
HG01843,56,0,0,0,0,56
HG02028,50,5,1,0,6,56
HG01861,55,1,0,0,1,56
HG01869,55,0,1,0,1,56
HG01865,49,0,7,0,7,56
HG01848,55,1,0,0,1,56
HG02048,53,3,0,0,3,56
HG02130,53,3,0,0,3,56
HG01595,49,6,1,0,7,56
HG01860,53,0,3,0,3,56
HG01853,56,0,0,0,0,56
HG02139,56,0,0,0,0,56
HG02121,54,1,1,0,2,56
HG01858,50,6,0,0,6,56
HG02058,49,1,6,0,7,56
HG02076,54,2,0,0,2,56
HG02131,55,0,1,0,1,56
HG02522,56,0,0,0,0,56
HG02019,56,0,0,0,0,56
HG01851,55,0,1,0,1,56
HG02016,55,0,1,0,1,56
HG01874,53,0,3,0,3,56
HG02057,54,0,2,0,2,56
HG02521,48,1,7,0,8,56
HG02035,52,0,4,0,4,56
HG02025,54,1,1,0,2,56
HG02128,49,7,0,0,7,56
HG01862,50,0,6,0,6,56
HG02134,55,0,1,0,1,56
HG02082,55,0,1,0,1,56
HG02122,54,0,2,0,2,56
HG01870,51,4,1,0,5,56
HG02136,56,0,0,0,0,56
HG01852,46,0,10,0,10,56
HG02137,53,3,0,0,3,56
HG01850,56,0,0,0,0,56
HG01857,56,0,0,0,0,56
HG02061,54,2,0,0,2,56
HG02142,48,1,2,5,8,56
HG01863,49,7,0,0,7,56
HG02026,55,1,0,0,1,56
HG01871,55,0,1,0,1,56
HG02141,55,1,0,0,1,56
HG01873,55,1,0,0,1,56
HG02049,56,0,0,0,0,56
HG02086,56,0,0,0,0,56
HG02113,49,1,6,0,7,56
HG01847,56,0,0,0,0,56
HG02513,115,11,6,0,17,132
HG02138,112,3,17,0,20,132
HG02075,107,16,9,0,25,132
HG02031,120,5,6,1,12,132
HG02084,111,12,9,0,21,132
HG02047,113,3,16,0,19,132
HG01597,120,2,9,1,12,132
HG01849,122,2,8,0,10,132
HG02023,118,11,3,0,14,132
HG01846,108,3,21,0,24,132
HG02081,124,3,5,0,8,132
HG01599,121,2,9,0,11,132
HG01866,109,7,16,0,23,132
HG02064,102,11,14,5,30,132
HG02069,102,12,17,1,30,132
HG02087,111,2,19,0,21,132
HG02017,110,14,8,0,22,132
HG01864,120,1,1,10,12,132
HG01868,103,10,11,8,29,132
HG01596,110,20,2,0,22,132
HG02072,118,4,10,0,14,132
HG02079,111,17,4,0,21,132
HG01600,122,5,5,0,10,132
HG02140,102,12,17,1,30,132
HG01841,109,15,1,7,23,132
HG02020,96,16,19,1,36,132
HG01878,106,4,22,0,26,132
HG02085,106,5,21,0,26,132
HG01598,114,7,3,8,18,132
HG01872,104,7,21,0,28,132
HG02073,105,22,5,0,27,132
HG01845,120,0,0,12,12,132
HG02032,118,9,5,0,14,132
HG02088,124,5,3,0,8,132
HG01840,111,18,2,1,21,132
HG01855,116,6,2,8,16,132
HG02050,115,12,5,0,17,132
HG01844,112,7,13,0,20,132
HG02067,124,5,3,0,8,132
HG02133,112,0,1,19,20,132
HG02127,119,5,8,0,13,132
HG02512,121,6,4,1,11,132
HG02040,119,9,4,0,13,132
HG01859,119,1,10,2,13,132
HG02078,125,0,0,7,7,132
HG02070,118,5,9,0,14,132
HG02029,110,13,9,0,22,132
HG02116,111,12,9,0,21,132
HG01842,119,2,1,10,13,132
HG01867,114,6,12,0,18,132
HG02060,117,8,7,0,15,132
